1;;;;;1;;;;;400;;;;;NULL;;;;;NULL;;;;;0.3;;;;;1
2;;;;;1;;;;;405;;;;;NULL;;;;;NULL;;;;;0.37;;;;;1
3;;;;;1;;;;;411;;;;;NULL;;;;;NULL;;;;;5.2;;;;;1
4;;;;;1;;;;;450;;;;;NULL;;;;;NULL;;;;;0.03;;;;;1
5;;;;;1;;;;;460;;;;;NULL;;;;;NULL;;;;;0.04;;;;;1
6;;;;;1;;;;;414;;;;;NULL;;;;;NULL;;;;;1.56;;;;;1
7;;;;;1;;;;;482;;;;;NULL;;;;;NULL;;;;;0.56;;;;;1
8;;;;;1;;;;;483;;;;;NULL;;;;;NULL;;;;;0.21;;;;;1
9;;;;;1;;;;;679;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
10;;;;;1;;;;;678;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
11;;;;;1;;;;;1148;;;;;NULL;;;;;NULL;;;;;24;;;;;1
12;;;;;1;;;;;672;;;;;NULL;;;;;NULL;;;;;0.14;;;;;1
13;;;;;1;;;;;434;;;;;NULL;;;;;NULL;;;;;0.05;;;;;1
14;;;;;1;;;;;437;;;;;NULL;;;;;NULL;;;;;61.6;;;;;1
15;;;;;1;;;;;438;;;;;NULL;;;;;NULL;;;;;12.7;;;;;1
16;;;;;1;;;;;453;;;;;NULL;;;;;NULL;;;;;5.3;;;;;1
17;;;;;1;;;;;470;;;;;NULL;;;;;NULL;;;;;0.24;;;;;1
18;;;;;1;;;;;475;;;;;NULL;;;;;NULL;;;;;2;;;;;1
19;;;;;1;;;;;473;;;;;NULL;;;;;NULL;;;;;0.28;;;;;1
20;;;;;1;;;;;680;;;;;NULL;;;;;NULL;;;;;1;;;;;1
21;;;;;2;;;;;609;;;;;NULL;;;;;NULL;;;;;1;;;;;1
22;;;;;3;;;;;1133;;;;;NULL;;;;;NULL;;;;;2;;;;;1
23;;;;;3;;;;;1139;;;;;NULL;;;;;NULL;;;;;2;;;;;1
24;;;;;3;;;;;384;;;;;NULL;;;;;NULL;;;;;1;;;;;1
25;;;;;3;;;;;1110;;;;;NULL;;;;;NULL;;;;;1;;;;;1
26;;;;;3;;;;;376;;;;;NULL;;;;;NULL;;;;;1;;;;;1
27;;;;;3;;;;;374;;;;;NULL;;;;;NULL;;;;;1;;;;;1
28;;;;;3;;;;;1125;;;;;NULL;;;;;NULL;;;;;2;;;;;1
29;;;;;4;;;;;1133;;;;;NULL;;;;;NULL;;;;;2;;;;;1
30;;;;;4;;;;;1139;;;;;NULL;;;;;NULL;;;;;2;;;;;1
31;;;;;4;;;;;384;;;;;NULL;;;;;NULL;;;;;1;;;;;1
32;;;;;4;;;;;1110;;;;;NULL;;;;;NULL;;;;;1;;;;;1
33;;;;;4;;;;;376;;;;;NULL;;;;;NULL;;;;;1;;;;;1
34;;;;;4;;;;;374;;;;;NULL;;;;;NULL;;;;;1;;;;;1
35;;;;;4;;;;;1125;;;;;NULL;;;;;NULL;;;;;2;;;;;1
36;;;;;5;;;;;1133;;;;;NULL;;;;;NULL;;;;;2;;;;;1
37;;;;;5;;;;;1139;;;;;NULL;;;;;NULL;;;;;2;;;;;1
38;;;;;5;;;;;384;;;;;NULL;;;;;NULL;;;;;1;;;;;1
39;;;;;5;;;;;1110;;;;;NULL;;;;;NULL;;;;;1;;;;;1
40;;;;;5;;;;;376;;;;;NULL;;;;;NULL;;;;;1;;;;;1
41;;;;;5;;;;;374;;;;;NULL;;;;;NULL;;;;;1;;;;;1
42;;;;;5;;;;;1125;;;;;NULL;;;;;NULL;;;;;2;;;;;1
43;;;;;6;;;;;1133;;;;;NULL;;;;;NULL;;;;;2;;;;;1
44;;;;;6;;;;;1139;;;;;NULL;;;;;NULL;;;;;2;;;;;1
45;;;;;6;;;;;384;;;;;NULL;;;;;NULL;;;;;1;;;;;1
46;;;;;6;;;;;1110;;;;;NULL;;;;;NULL;;;;;1;;;;;1
47;;;;;6;;;;;376;;;;;NULL;;;;;NULL;;;;;1;;;;;1
48;;;;;6;;;;;374;;;;;NULL;;;;;NULL;;;;;1;;;;;1
49;;;;;6;;;;;1125;;;;;NULL;;;;;NULL;;;;;2;;;;;1
50;;;;;7;;;;;1133;;;;;NULL;;;;;NULL;;;;;2;;;;;1
51;;;;;7;;;;;1139;;;;;NULL;;;;;NULL;;;;;2;;;;;1
52;;;;;7;;;;;384;;;;;NULL;;;;;NULL;;;;;1;;;;;1
53;;;;;7;;;;;1110;;;;;NULL;;;;;NULL;;;;;1;;;;;1
54;;;;;7;;;;;376;;;;;NULL;;;;;NULL;;;;;1;;;;;1
55;;;;;7;;;;;374;;;;;NULL;;;;;NULL;;;;;1;;;;;1
56;;;;;7;;;;;1125;;;;;NULL;;;;;NULL;;;;;2;;;;;1
57;;;;;8;;;;;1133;;;;;NULL;;;;;NULL;;;;;2;;;;;1
58;;;;;8;;;;;1137;;;;;NULL;;;;;NULL;;;;;10;;;;;1
59;;;;;8;;;;;1139;;;;;NULL;;;;;NULL;;;;;2;;;;;1
60;;;;;8;;;;;1143;;;;;NULL;;;;;NULL;;;;;10;;;;;1
61;;;;;8;;;;;300;;;;;NULL;;;;;NULL;;;;;0.3;;;;;1
62;;;;;8;;;;;1089;;;;;NULL;;;;;NULL;;;;;1;;;;;1
63;;;;;8;;;;;19;;;;;NULL;;;;;NULL;;;;;1;;;;;1
64;;;;;8;;;;;372;;;;;NULL;;;;;NULL;;;;;1;;;;;1
65;;;;;8;;;;;381;;;;;NULL;;;;;NULL;;;;;1;;;;;1
66;;;;;8;;;;;385;;;;;NULL;;;;;NULL;;;;;1;;;;;1
67;;;;;8;;;;;383;;;;;NULL;;;;;NULL;;;;;1;;;;;1
68;;;;;8;;;;;92;;;;;NULL;;;;;NULL;;;;;1;;;;;1
69;;;;;8;;;;;777;;;;;NULL;;;;;NULL;;;;;1;;;;;1
70;;;;;8;;;;;1125;;;;;NULL;;;;;NULL;;;;;2;;;;;1
71;;;;;8;;;;;1128;;;;;NULL;;;;;NULL;;;;;2;;;;;1
72;;;;;8;;;;;1155;;;;;NULL;;;;;NULL;;;;;10;;;;;1
73;;;;;8;;;;;828;;;;;NULL;;;;;NULL;;;;;1;;;;;1
74;;;;;9;;;;;300;;;;;NULL;;;;;NULL;;;;;0.3;;;;;1
75;;;;;9;;;;;301;;;;;NULL;;;;;NULL;;;;;0.7;;;;;1
76;;;;;9;;;;;1035;;;;;NULL;;;;;NULL;;;;;0.1;;;;;1
77;;;;;9;;;;;1168;;;;;NULL;;;;;NULL;;;;;0.4;;;;;1
78;;;;;10;;;;;145;;;;;NULL;;;;;NULL;;;;;55.8;;;;;1
79;;;;;11;;;;;660;;;;;NULL;;;;;NULL;;;;;1;;;;;1
80;;;;;11;;;;;405;;;;;NULL;;;;;NULL;;;;;0.2;;;;;1
81;;;;;11;;;;;476;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
82;;;;;11;;;;;496;;;;;NULL;;;;;NULL;;;;;0.09;;;;;1
83;;;;;12;;;;;422;;;;;NULL;;;;;NULL;;;;;1.75;;;;;1
84;;;;;12;;;;;424;;;;;NULL;;;;;NULL;;;;;7.65;;;;;1
85;;;;;12;;;;;431;;;;;NULL;;;;;NULL;;;;;3.1;;;;;1
86;;;;;13;;;;;240;;;;;NULL;;;;;NULL;;;;;0.3;;;;;1
87;;;;;13;;;;;711;;;;;NULL;;;;;NULL;;;;;0.22;;;;;1
88;;;;;13;;;;;1052;;;;;NULL;;;;;NULL;;;;;12.58;;;;;1
89;;;;;14;;;;;298;;;;;NULL;;;;;NULL;;;;;4;;;;;1
90;;;;;14;;;;;281;;;;;NULL;;;;;NULL;;;;;1;;;;;1
91;;;;;14;;;;;240;;;;;NULL;;;;;NULL;;;;;0.31;;;;;1
92;;;;;14;;;;;42;;;;;NULL;;;;;NULL;;;;;2;;;;;1
93;;;;;14;;;;;119;;;;;NULL;;;;;NULL;;;;;1;;;;;1
94;;;;;14;;;;;1035;;;;;NULL;;;;;NULL;;;;;0.09;;;;;1
95;;;;;14;;;;;1173;;;;;NULL;;;;;NULL;;;;;2;;;;;1
96;;;;;14;;;;;1174;;;;;NULL;;;;;NULL;;;;;0.5;;;;;1
97;;;;;15;;;;;271;;;;;NULL;;;;;NULL;;;;;14;;;;;1
98;;;;;15;;;;;711;;;;;NULL;;;;;NULL;;;;;1.7;;;;;1
99;;;;;15;;;;;1170;;;;;NULL;;;;;NULL;;;;;1.3;;;;;1
100;;;;;16;;;;;196;;;;;NULL;;;;;NULL;;;;;2;;;;;1
101;;;;;16;;;;;204;;;;;NULL;;;;;NULL;;;;;3;;;;;1
102;;;;;16;;;;;187;;;;;NULL;;;;;NULL;;;;;2;;;;;1
103;;;;;16;;;;;690;;;;;NULL;;;;;NULL;;;;;2;;;;;1
104;;;;;16;;;;;112;;;;;NULL;;;;;NULL;;;;;1;;;;;1
105;;;;;16;;;;;329;;;;;NULL;;;;;NULL;;;;;2;;;;;1
106;;;;;16;;;;;332;;;;;NULL;;;;;NULL;;;;;2;;;;;1
107;;;;;17;;;;;963;;;;;NULL;;;;;NULL;;;;;0.4;;;;;1
108;;;;;18;;;;;370;;;;;NULL;;;;;NULL;;;;;1.25;;;;;1
109;;;;;19;;;;;1135;;;;;NULL;;;;;NULL;;;;;12;;;;;1
110;;;;;19;;;;;1141;;;;;NULL;;;;;NULL;;;;;6;;;;;1
111;;;;;19;;;;;1124;;;;;NULL;;;;;NULL;;;;;6;;;;;1
112;;;;;19;;;;;1152;;;;;NULL;;;;;NULL;;;;;6;;;;;1
113;;;;;20;;;;;136;;;;;NULL;;;;;NULL;;;;;56;;;;;1
114;;;;;21;;;;;127;;;;;NULL;;;;;NULL;;;;;2;;;;;1
115;;;;;21;;;;;1133;;;;;NULL;;;;;NULL;;;;;6;;;;;1
116;;;;;21;;;;;1139;;;;;NULL;;;;;NULL;;;;;6;;;;;1
117;;;;;21;;;;;372;;;;;NULL;;;;;NULL;;;;;1;;;;;1
118;;;;;21;;;;;384;;;;;NULL;;;;;NULL;;;;;1;;;;;1
119;;;;;21;;;;;1125;;;;;NULL;;;;;NULL;;;;;6;;;;;1
120;;;;;21;;;;;373;;;;;NULL;;;;;NULL;;;;;1;;;;;1
121;;;;;21;;;;;374;;;;;NULL;;;;;NULL;;;;;1;;;;;1
122;;;;;21;;;;;376;;;;;NULL;;;;;NULL;;;;;1;;;;;1
123;;;;;21;;;;;922;;;;;NULL;;;;;NULL;;;;;1;;;;;1
124;;;;;21;;;;;812;;;;;NULL;;;;;NULL;;;;;1;;;;;1
