1;;;;;"2009-10-02";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1683;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"107313";;;;;NULL;;;;;NULL;;;;;107313;;;;;NULL
2;;;;;"2009-10-02";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1683;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"107337";;;;;NULL;;;;;NULL;;;;;107337;;;;;NULL
3;;;;;"2010-08-04";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1110;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"119504";;;;;NULL;;;;;12;;;;;119504;;;;;NULL
4;;;;;"2010-08-04";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1109;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"119505";;;;;NULL;;;;;12;;;;;119505;;;;;NULL
5;;;;;"2010-08-04";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1112;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"119506";;;;;NULL;;;;;12;;;;;119506;;;;;NULL
6;;;;;"2010-08-04";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1114;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"119507";;;;;NULL;;;;;12;;;;;119507;;;;;NULL
7;;;;;"2010-08-04";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1111;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"119508";;;;;NULL;;;;;12;;;;;119508;;;;;NULL
8;;;;;"2011-01-13";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1478;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"128230";;;;;NULL;;;;;12;;;;;128230;;;;;NULL
9;;;;;"2011-02-10";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1478;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"129499";;;;;NULL;;;;;NULL;;;;;129499;;;;;NULL
10;;;;;"2012-05-23";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151035";;;;;NULL;;;;;NULL;;;;;151035;;;;;NULL
11;;;;;"2012-05-29";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151286";;;;;NULL;;;;;NULL;;;;;151286;;;;;NULL
12;;;;;"2012-05-29";;;;;10;;;;;"SE CAPTURA ESTE MATERIAL EN VEZ DEL TANQUE.-";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151287";;;;;NULL;;;;;NULL;;;;;151287;;;;;NULL
13;;;;;"2012-05-30";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151376";;;;;NULL;;;;;NULL;;;;;151376;;;;;NULL
14;;;;;"2012-05-31";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151434";;;;;NULL;;;;;NULL;;;;;151434;;;;;NULL
15;;;;;"2012-06-01";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151537";;;;;NULL;;;;;15;;;;;151537;;;;;NULL
16;;;;;"2012-06-11";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"151916";;;;;NULL;;;;;NULL;;;;;151916;;;;;NULL
17;;;;;"2012-06-12";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"152004";;;;;NULL;;;;;NULL;;;;;152004;;;;;NULL
18;;;;;"2012-06-13";;;;;10;;;;;"";;;;;NULL;;;;;NULL;;;;;1202;;;;;"0";;;;;NULL;;;;;NULL;;;;;1;;;;;"152091";;;;;NULL;;;;;NULL;;;;;152091;;;;;NULL
